"Word","Status","Type","Power","Location_Match"
"Abercorn","extant","Place",1,"No"
"Abergavenny","extant","Place",1,"No"
"Addison","extant","Place",1,"No"
"Ailesbury","extant","Place",1,"No"
"Ailsa","extant","Place",1,"No"
"Alamein","extant","Place",1,"No"
"Alanbrooke","extinct","Place",0.5,"No"
"Albans","extant","Place",1,"No"
"Alderney","extant","Place",1,"No"
"Aldwyn","extant","Place",1,"No"
"Alford","extinct","Place",0.5,"No"
"Allenby","extant","Place",1,"No"
"Allendale","extant","Place",1,"No"
"Althorp","extant","Place",1,"No"
"Alverstone","extinct","Place",0.5,"No"
"Amberley","extant","Place",1,"No"
"Amherst","extinct","Place",0.5,"No"
"Amory","extinct","Place",0.5,"No"
"Ancaster","extinct","Place",0.5,"No"
"Andrews","extant","Place",1,"No"
"Anglesey","extant","Place",0.5,"Yes"
"Anson","extant","Place",1,"No"
"Argyll","extant","Place",0.5,"Yes"
"Asquith","extant","Place",1,"No"
"Astor","extant","Place",1,"No"
"Athlone","extinct","Place",0.5,"No"
"Atholl","extant","Place",1,"No"
"Attlee","extant","Place",1,"No"
"Auckland","extinct","Place",0.5,"No"
"Ava","extinct","Place",0.5,"No"
"Avon","extinct","Place",0.5,"No"
"Balfour","extant","Place",1,"No"
"Bath","extinct","Place",0.25,"Yes"
"Beaconsfield","extinct","Place",0.5,"No"
"Bearsted","extant","Place",1,"No"
"Beatty","extant","Place",1,"No"
"Beauchamp","extinct","Place",0.5,"No"
"Beaufort","extant","Place",1,"No"
"Bedford","extant","Place",0.5,"Yes"
"Bennett","extinct","Place",0.5,"No"
"Beresford","extinct","Place",0.5,"No"
"Berkhampsted","extinct","Place",0.5,"No"
"Bessborough","extinct","Place",0.5,"No"
"Bewdley","extant","Place",1,"No"
"Birkenhead","extinct","Place",0.5,"No"
"Blackburn","extinct","Place",0.5,"No"
"Blakenham","extant","Place",1,"No"
"Bledisloe","extant","Place",1,"No"
"Boringdon","extant","Place",1,"No"
"Borodale","extant","Place",1,"No"
"Bracken","extinct","Place",0.5,"No"
"Brackley","extant","Place",1,"No"
"Bradford","extant","Place",1,"No"
"Brandon","extant","Place",1,"No"
"Brassey","extinct","Place",0.5,"No"
"Breadalbane","extinct","Place",0.5,"No"
"Brecknock","extant","Place",1,"No"
"Brenchley","extant","Place",1,"No"
"Brentford","extant","Place",0.5,"Yes"
"Bridgeman","extant","Place",1,"No"
"Bridport","extant","Place",1,"No"
"Bristol","extant","Place",0.5,"Yes"
"Brocas","extant","Place",1,"No"
"Brookeborough","extant","Place",1,"No"
"Broome","extinct","Place",0.5,"No"
"Brownlow","extinct","Place",0.5,"No"
"Bruce","extant","Place",1,"No"
"Bryce","extinct","Place",0.5,"No"
"Buccleuch","extant","Place",1,"No"
"Buckmaster","extant","Place",1,"No"
"Burlington","extant","Place",1,"No"
"Burma","extant","Place",1,"No"
"Burnham","extinct","Place",0.5,"No"
"Buxton","extinct","Place",0.5,"No"
"Cairns","extant","Place",1,"No"
"Caldecote","extant","Place",1,"No"
"Cambridge","extant","Place",0.5,"Yes"
"Camden","extant","Place",1,"No"
"Campden","extant","Place",1,"No"
"Camperdown","extinct","Place",0.5,"No"
"Camrose","extant","Place",1,"No"
"Canberra","extant","Place",1,"No"
"Canning","extinct","Place",0.5,"No"
"Canterbury","extinct","Place",0.25,"Yes"
"Cardwell","extinct","Place",0.5,"No"
"Carisbrooke","extinct","Place",0.5,"No"
"Carlton","extant","Place",1,"No"
"Carrington","extinct","Place",0.5,"No"
"Cathcart","extant","Place",1,"No"
"Cave","extinct","Place",0.5,"No"
"Cawdor","extant","Place",1,"No"
"Chandos","extant","Place",1,"No"
"Chaplin","extinct","Place",0.5,"No"
"Chelmsford","extant","Place",0.5,"Yes"
"Chelwood","extinct","Place",0.5,"No"
"Cherwell","extinct","Place",0.5,"No"
"Chichester","extant","Place",0.5,"Yes"
"Chilston","extant","Place",1,"No"
"Cholmondeley","extant","Place",1,"No"
"Cilcennin","extinct","Place",0.5,"No"
"Clancarty","extant","Place",1,"No"
"Clandeboye","extinct","Place",0.5,"No"
"Clanfield","extant","Place",1,"No"
"Clarence","extinct","Place",0.5,"No"
"Cleveland","extinct","Place",0.5,"No"
"Clive","extant","Place",1,"No"
"Coke","extant","Place",1,"No"
"Combermere","extant","Place",1,"No"
"Compton","extant","Place",1,"No"
"Cornwall","extant","Place",0.5,"Yes"
"Corvedale","extant","Place",1,"No"
"Cottenham","extant","Place",1,"No"
"Cowdray","extant","Place",1,"No"
"Cowley","extant","Place",1,"No"
"Craigavon","extant","Place",1,"No"
"Cranbrook","extant","Place",1,"No"
"Cranley","extant","Place",1,"No"
"Craven","extant","Place",1,"No"
"Crewe","extinct","Place",0.5,"No"
"Cromartie","extant","Place",1,"No"
"Cromer","extant","Place",1,"No"
"Crookshank","extinct","Place",0.5,"No"
"Cross","extinct","Place",0.5,"No"
"Crowhurst","extant","Place",1,"No"
"Culross","extant","Place",1,"No"
"Curzon","extant","Place",1,"No"
"Cyres","extant","Place",1,"No"
"D'Abernon","extinct","Place",0.5,"No"
"Dalhousie","extinct","Place",0.5,"No"
"Dangan","extant","Place",1,"No"
