Title,Surname,Status
Duke of Cornwall,Windsor,Extant
Duke of Norfolk,Fitzalan-Howard,Extant
Duke of Somerset,Seymour,Extant
Duke of Richmond,Gordon-Lennox,Extant
Duke of Grafton,FitzRoy,Extant
Duke of Beaufort,Somerset,Extant
Duke of St Albans,Beauclerk,Extant
Duke of Bedford,Russell,Extant
Duke of Devonshire,Cavendish,Extant
Duke of Marlborough,Spencer-Churchill,Extant
Duke of Rutland,Manners Sutton,Extant
Duke of Rothesay,Windsor,Extant
Duke of Hamilton,Douglas-Hamilton,Extant
Duke of Buccleuch,Scott,Extant
Duke of Lennox,Gordon-Lennox,Extant
Duke of Argyll,Campbell,Extant
Duke of Atholl,Murray,Extant
Duke of Montrose,Graham,Extant
Duke of Roxburghe,Innes-Ker,Extant
Duke of Brandon,Douglas-Hamilton,Extant
Duke of Manchester,Montagu,Extant
Duke of Northumberland,Percy,Extant
Duke of Leinster,FitzGerald,Extant
Duke of Wellington,Wellesley,Extant
Duke of Sutherland,Egerton,Extant
Duke of Abercorn,Hamilton,Extant
Duke of Westminster,Grosvenor,Extant
Duke of Gordon,Gordon-Lennox,Extant
Duke of Argyll,Campbell,Extant
Duke of Fife,Carnegie,Extant
Duke of Gloucester,Richard,Extant
Duke of Kent,Windsor,Extant
Duke of York,Windsor,Extant
Duke of Cambridge,Windsor,Extant
Duke of Sussex,Windsor,Extant
Duke of Edinburgh,Windsor,Extant
Marquess of Exeter[27],Cecil,Extant
Marquess of Northampton[28],Compton,Extant
Marquess Camden[28],Pratt,Extant
Marquess of Wellington[29],Wellesley,Extant
Marquess Douro[30],Wellesley,Extant
Marquess of Anglesey[31],Paget,Extant
Marquess of Cholmondeley[32][33],Cholmondeley,Extant
Marquess of Hastings[34],Rawdon-Hastings,extinct
Marquess of Ailesbury[35],Brudenell-Bruce,Extant
Marquess of Chandos[24],Temple-Nugent-Brydges,extinct
Marquess of Bristol[36],Hervey,Extant
Marquess of Cleveland[37],Vane,extinct
Marquess of Ailsa[38],Kennedy,Extant
Marquess of Breadalbane[38],Campbell,extinct
Marquess of Westminster[39],Grosvenor,Extant
Marquess of Normanby[40],Phipps,Extant
Marquess of Dalhousie[41],Broun-Ramsay,extinct
Marquess of Ripon[42],Robinson,extinct
Marquess of Abergavenny[43],Neville,Extant
Marquess of Breadalbane[44],Campbell,extinct
Marquess of Dufferin and Ava[45],Hamilton-Temple-Blackwood,extinct
Marquess of Macduff[46],Duff,extinct
Marquess of Zetland[47],Dundas,Extant
Marquess of Linlithgow[48],Hope,Extant
Marquess of Crewe[49],Crewe-Milnes,extinct
Marquess of Lincolnshire[50],Wynn-Carrington,extinct
Marquess of Aberdeen and Temair[51],Gordon,Extant
Marquess of Cambridge[52],Cambridge,extinct
Marquess of Milford Haven[53],Mountbatten,Extant
Marquess of Carisbrooke[53],Mountbatten,extinct
Marquess Curzon of Kedleston[54],Curzon,extinct
Marquess of Reading[55],Isaacs,Extant
Marquess of Willingdon[56],,extinct
Earl of Rosslyn[103],Wedderburn-St. Clair-Erskine,extant
Earl of Onslow[104],Onslow,extant
Earl of Craven[104],Craven,extant
Earl of Romney[104],Marsham,extant
Earl of Chichester[104],Pelham,extant
Earl of Wilton[104],Egerton,extant
Earl of Inverness[105],Guelph,extinct
Earl of Tipperary[105],Guelph,extinct
Countess of Bath[106],Murray-Pulteney,extinct
Earl of Powis[107],Clive,extant
Earl Nelson[108],Nelson,extant
Earl Manvers[109],Pierrepont-Medows,extinct
Earl of Orford[109],Walpole,extinct
Earl Grey[109],Grey,extant
Earl of Lonsdale[110],Lowther,extant
Earl of Harrowby[111],Ryder,extant
Earl of Wellington[112],Wellesley,extant
Earl Compton[113],Compton,extant
Earl of Brecknock[113],Pratt,extant
Earl of Mulgrave[113],Phipps,extant
Earl of Harewood[114],Lascelles,extant
Earl of Minto[115],Elliot,extant
Earl Cathcart[116],Cathcart,extant
Earl Brownlow[117],Cust,extinct
Earl of Rocksavage[117],Cholmondeley,extant
Earl of Verulam[117],Grimston,extant
Earl Whitworth[117],Whitworth,extinct
Earl of St Germans[117],Eliot,extant
Earl of Morley[117],Parker,extant
Earl of Bradford[117],Bridgeman,extant
Earl Beauchamp[117][118],Lygon,extinct
Countess de Grey[119],Robinson,extinct
Earl of Rawdon[120],Rawdon,extinct
Earl of Eldon[121],Scott,extant
Earl Bruce[122],Bruce,extant
Earl of Falmouth[122],Boscawen,extinct
Earl Howe[122],Curzon,extant
Earl Somers[122],Somers-Cocks,extinct
Earl of Stradbroke[122],Rous,extant
Earl Temple of Stowe,Temple-Gore-Langton,extant
Earl Vane[123],Stewart,extant
Earl Jermyn[124],Jermyn,extant
Earl Amherst,Amherst,extinct
Earl Cawdor[125],Campbell,extant
Earl of Dudley[125],Ward,extinct
Earl of Munster[126],Fitzclarence,extinct
Earl of Ormelie[127],Campbell,extinct
Earl of Burlington[102],Cavendish,extant
Earl of Camperdown[102],Haldane-Duncan,extinct
Earl of Lichfield[128],Anson,extant
Earl of Durham[129],Lambton,extant
Earl of Ripon[130],Robinson,extinct
Earl Granville[131],Leveson-Gower,extant
Earl of Effingham[132],Howard,extant
Earl of Ducie[132],Moreton,extant
Earl of Yarborough[132],Anderson-Pelham,extant
Earl Innes[133],Innes,extant
Earl of Leicester[133],Coke,extant
Earl of Lovelace[134],King,extinct
Earl of Zetland[134],Dundas,extant
Earl of Auckland[135],Eden,extinct
Earl FitzHardinge[136],Berkeley,extinct
Earl of Gainsborough[136],Noel,extant
Earl of Ellenborough[137],Law,extinct
Earl of Ellesmere[138],Leveson-Gower,extant
Earl of Strafford[139],Byng,extant
Earl of Dublin,Wettin,extinct
Earl of Cottenham[140],Pepys,extant
Earl Cowley[141],Wellesley,extant
Earl Canning[142],Canning,extinct
Earl of Winton[143],Montgomerie,extant
Earl of Dudley[144],Ward,extant
Earl Russell[145],Russell,extant
Countess of Cromartie[146],Mackenzie,extant
Earl St Maur[147],St. Maur-Seymour,extinct
Earl of Kent[148],Wettin,extinct
