County,County_town
Bedfordshire,Bedford
Berkshire,Reading
Berkshire,Abingdon
Buckinghamshire,Buckingham
Buckinghamshire,Aylsebury
Cambridgeshire,Cambridge
Cambridgeshire,Ely
Cheshire,Chester
Cornwall,Truro
Cornwall,Bodmin
Cornwall,Launceston
Cumberland,Carlisle
Cumberland,Penrith
Cumberland,Cockermouth
Derbyshire,Derby
Devon,Exeter
Dorset,Dorchester
Dorset,Poole
Durham,Durham
Essex,Chelmsford
Gloucestershire,Gloucester
Gloucestershire,Bristol
Hampshire,Southampton
Hampshire,Winchester
Herefordshire,Hereford
Hertfordshire,Hertford
Huntingdonshire,Huntingdon
Kent,Canterbury
Kent,Maidstone
Lancashire,Lancaster
Lancashire,Preston
Leicestershire,Leicester
Lincolnshire,Lincoln
Middlesex,London
Middlesex,Brentford
Middlesex,Clerkenwell
Middlesex,Westminster
Norfolk,Norwich
Northamptonshire,Northampton
Northumberland,Newcastle
Northumberland,Alnwick
Northumberland,Morpeth
Northumberland,Berwick
Nottinghamshire,Nottingham
Oxfordshire,Oxford
Rutland,Oakham
Shropshire,Shrewsbury
Somerset,Somerton
Somerset,Taunton
Somerset,Ilchester
Somerset,Bath
Somerset,Wells
Staffordshire,Stafford
Staffordshire,Lichfield
Suffolk,Ipswich
Surrey,Guildford
Surrey,Newington
Surrey,Southwark
Sussex,Lewes
Sussex,Chichester
Sussex,Horsham
Warwickshire,Warwick
Warwickshire,Coventry
Westmorland,Appleby
Westmorland,Kendal
Wiltshire,Wilton
Wiltshire,Salisbury
Wiltshire,Trowbridge
Wiltshire,Devizes
Worcestershire,Worcester
Yorkshire,York
Yorkshire,Hull
Aberdeenshire,Aberdeen
Angus,Forfar
Forfarshire,Forfar
Argyll,Lochgilphead
Argyll,Inveraray
Ayrshire,Ayr
Banffshire,Banff
Berwickshire,Greenlaw
Berwickshire,Duns
Bute,Rothesay
Caithness,Wick
Clackmannanshire,Alloa
Clackmannanshire,Clackmannan
Cromartyshire,Cromarty
Dumfriesshire,Dumfries
Dunbartonshire,Dumbarton
East Lothian,Haddington
Haddingtonshire,Haddington
Fife,Cupar
Inverness-shire,Inverness
Kincardineshire,Stonehaven
Kincardineshire,Kincardine
Kinross-shire,Kinross
Kirkcudbrightshire,Kirkcudbright
Lanarkshire,Lanark
Midlothian,Edinburgh
Edinburghshire,Edinburgh
Morayshire,Elgin
Elginshire,Elgin
Nairnshire,Nairn
Orkney,Kirkwall
Peeblesshire,Peebles
Perthshire,Perth
Renfrewshire,Renfrew
Ross-shire,Dingwall
Roxburghshire,Jedburgh
Roxburghshire,Roxburgh
Selkirkshire,Selkirk
Shetland,Lerwick
Stirlingshire,Stirling
 Sutherland,Dornoch
West Lothian,Linlithgow
Linlithgowshire,Linlithgow
Wigtownshire,Wigtown
Anglesey,Beaumaris
Brecknockshire,Brecon
Caernarfonshire,Caernarfon
Cardiganshire,Cardigan
Carmarthenshire,Carmarthen
Denbighshire,Ruthin
Denbighshire,Denbigh
Flintshire,Mold
Flintshire,Flint
Glamorgan,Cardiff
Merionethshire,Dolgellau
Monmouthshire,Monmouth
Montgomeryshire,Welshpool
Montgomeryshire,Montgomery
Pembrokeshire,Haverfordwest
Pembrokeshire,Pembroke
Radnorshire,Presteigne
Radnorshire,Radnor
